id,block,t0,s0,t1,s1,none,remark,w,d,
protester,12:00:00 AM,3:10:00 PM,99,3:43:00 PM,0,5:40:00 PM,偉華中心,30,M104.75 847.79 85.32 821.75C85.32 821.75 128.92 792.82 169.65 768.41 210.37 744 238.48 757 289.24 762S373.35 768.52 403.18 746.76C433 725 441.72 719 441.72 719S387.05 653.82 375.53 634.41C364 615 346.43 593.47 342.72 568.23 339.01 542.99 329.52 509.86 329.52 509.86L396.46 486.27 379.3 416.16,
protester,12:00:00 AM,3:43:00 PM,100,4:16:00 PM,0,5:40:00 PM,沙田廣場,30,M379.29 416.17C374.22 391.89 383.67 381.82 396.45 370.3 396.45 370.3 506.01 243.62 518.79 229.81 531.57 216 546.34 225.85 551.02 232.01S569.46 252.02 569.46 252.02,
protester,12:00:00 AM,4:16:00 PM,100,4:44:00 PM,0,5:40:00 PM,到達終點,30,M574.96 256.62C574.96 256.62 596.82 274.57 604.87 280.36S621.4 282.12 627.93 274.29 649.57 249.28 649.57 249.28 495.21 107.69 486.37 100.92C477.53 94.15 469.64 90.46 459.43 100.92S426.71 123.77 423.81 131.11C420.91 138.45 421.04 158.99 422.82 171.18 424.6 183.37 434.4 208.82 423.88 229.79L411.88 246.14,
protester,5:40:00 PM,5:41:00 PM,0,7:15:00 PM,100,10:00:00 PM,龍尾出發,30,M411.9 246.15 423.9 229.8C434.42 208.83 424.62 183.38 422.84 171.19 421.06 159 420.93 138.46 423.83 131.12 426.73 123.78 449.24 111.39 459.45 100.93S477.55 94.16 486.39 100.93C495.23 107.7 649.58 249.29 649.58 249.29S634.47 266.47 627.94 274.3 612.93 286.16 604.88 280.37 574.97 256.63 574.97 256.63L569.47 252.02C569.47 252.02 555.7 238.16 551.03 232.01S531.58 216 518.8 229.81C506.02 243.62 396.46 370.3 396.46 370.3 383.68 381.83 374.17 392.34 379.24 416.62L379.63 417.51 396.79 487.62 329.52 509.87C329.52 509.87 339.01 543 342.72 568.24 346.43 593.48 364.01 615 375.53 634.42 387.06 653.83 441.72 719.01 441.72 719.01S433 725.01 403.17 746.77C373.35 768.52 340 767 289.24 762S210.37 744 169.64 768.41C128.91 792.82 85.31 821.75 85.31 821.75L104.74 847.79,
protester,4:42:00 PM,4:42:00 PM,100,4:44:00 PM,0,9:00:00 PM,MTR人潮,60,M419.2 236.1C433.3 224 429.4 195.5 428 192.5,
protester,9:00:00 PM,9:01:00 PM,0,9:29:00 PM,100,9:30:00 PM,MTR人潮,60,M419.2 236.1C433.3 224 429.4 195.5 428 192.5,
protester,4:59:00 PM,5:00:00 PM,100,5:20:00 PM,0,7:20:00 PM,源禾路-protester,30,"M651.5,250.3c0,0,13.3-9.4,13.3-14.9c0-5.5-30.3-6.1-31.9,0c-1.5,6.1,3.7,25.3,3.7,25.3l35.7,6.1l6.3-45.2","l-52.4,3.6l2.6,44.1l55.8,11.1l8.3-80l-74.4,16.8l2.1,57.3l79.4,19.5l6.5-106.7L613,212.3l2,69.7l99.8,26.5l2.2-134"
protester,7:20:00 PM,7:21:00 PM,0,9:20:00 PM,80,9:21:00 PM,源禾路-protester,30,"M651.5,250.3c0,0,13.3-9.4,13.3-14.9c0-5.5-30.3-6.1-31.9,0c-1.5,6.1,3.7,25.3,3.7,25.3l35.7,6.1l6.3-45.2",
protester,9:20:00 PM,9:21:00 PM,80,9:30:00 PM,100,9:31:00 PM,源禾路-protester,30,"M651.5,250.3c0,0,13.3-9.4,13.3-14.9c0-5.5-30.3-6.1-31.9,0c-1.5,6.1,3.7,25.3,3.7,25.3l35.7,6.1l6.3-45.2",
police,4:59:00 PM,5:00:00 PM,-100,5:20:00 PM,80,7:20:00 PM,源禾路-policeNE,30,"M731.1,155c0,0-23.3,23.2-40.6,44.1c-17.4,20.9-36.6,44-36.6,44",
police,7:20:00 PM,7:21:00 PM,80,9:20:00 PM,50,9:21:00 PM,源禾路-policeNE,30,"M731.1,155c0,0-23.3,23.2-40.6,44.1c-17.4,20.9-36.6,44-36.6,44",
police,9:20:00 PM,9:21:00 PM,50,9:30:00 PM,-90,9:31:00 PM,源禾路-policeNE,30,"M731.1,155c0,0-23.3,23.2-40.6,44.1c-17.4,20.9-36.6,44-36.6,44",
